kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_kepmag
6265665,K03436.01,Kepler-1499 b,CONFIRMED,0.969,0,0,0,0,44.2018402,163.21471,0,,0.348,4.949,,235.6,0.013886,2.65465,LS+MCMC,1.14,0.2196,89.69,409,6.59,65,5002,4.543,-0.18,0.753,0.723,,13.509
4645174,K03437.01,Kepler-1500 b,CONFIRMED,0.995,0,0,0,0,15.0330623,131.89493,0,,0.896,6.326,,132.2,0.012497,0.05326,LS+MCMC,2.18,0.1236,84.02,928,175.74,8.6,5849,4.076,0.14,1.601,1.114,,14.606
4645174,K03437.02,,CANDIDATE,0.997,0,0,0,0,34.7496038,158.68412,0,,0.984,4.548,,227.1,0.020104,0.06106,LS+MCMC,3.51,0.2162,86.42,702,57.44,15.74,5849,4.076,0.14,1.601,1.114,,14.606
6599975,K03438.01,Kepler-1501 b,CONFIRMED,0.974,0,0,0,0,14.5565618,141.03671,0,,0.031,4.554,,103.8,0.009286,1.33607,LS+MCMC,1.08,0.1228,89.93,787,90.4,24.64,6065,4.452,0.21,1.061,1.163,,13.71
4255422,K03528.01,,FALSE POSITIVE,0,0,1,0,0,165.40575,141.5762383,0,,1.091,13.6363,,66402,0.472994,0.53334,LS+MCMC,112.86,0.59,89.32,514,16.56,91.71,6061,3.759,-0.86,2.185,0.999,,12.724
11015108,K00344.01,Kepler-530 b,CONFIRMED,1,0,0,0,0,39.30944096,171.334861,0,,0.028,5.77,,1132.1,0.030434,1.8866,LS+MCMC,2.87,0.2212,89.97,488,13.46,53.61,5607,4.536,-0.04,0.863,0.932,,13.4
9837544,K03529.01,,FALSE POSITIVE,0,0,1,0,0,71.66191516,172.9074598,0,,0.612,6.33708,,323613,0.611676,7.87405,LS+MCMC,55.04,0.3107,89.73,365,4.18,128.82,5075,4.497,0.02,0.824,0.777,,15.167
7877824,K03530.01,,FALSE POSITIVE,0,1,0,0,0,9.44942685,136.026498,0,,0.395,6.40303,,488997,0.691937,1.35833,LS+MCMC,68.38,0.0882,88.78,813,103.29,18.5775,5754,4.534,0.07,0.905,1.021,,15.65
6947164,K03531.01,,FALSE POSITIVE,0,0,1,0,0,70.58284717,190.4997847,0,,0.882,8.81169,,150931,0.515411,1.62889,LS+MCMC,50.88,0.332,89.33,435,8.45,75.418,5973,4.516,-0.22,0.904,0.98,,14.624
10748621,K03532.01,,FALSE POSITIVE,0,0,1,0,0,286.1755875,314.101583,0,,0.598,16.1025,,328544,0.61205,1.93993,LS+MCMC,63.23,0.8405,89.83,276,1.38,203.27,5904,4.471,-0.16,0.946,0.966,,15.138
12643582,K03626.01,,FALSE POSITIVE,0,0,1,0,0,44.14579777,167.392037,0,,0.864,4.088,,224228,0.636114,14.62953,LS+MCMC,62.24,0.237,89.57,504,15.25,114.65,5876,4.492,-0.3,0.896,0.91,,16.442
10091110,K03627.01,,FALSE POSITIVE,0.002,0,1,0,0,4.218512654,133.506768,0,,0.767,3.62939,,23416.8,0.154013,0.4874,LS+MCMC,16.67,0.0522,84.29,1189,472.03,7.711,6185,4.472,-0.18,0.991,1.06,,15.232
10091110,K03627.02,,FALSE POSITIVE,0,0,1,0,0,8.529991199,137.654769,0,,1.225,3.9954,,20083.7,0.414572,0.40776,LS+MCMC,44.86,0.0834,83.95,940,184.92,11.62,6185,4.472,-0.18,0.991,1.06,,15.232
3542574,K03628.01,,FALSE POSITIVE,0,0,1,0,1,3.47140045,133.750744,,,,1.55,,,,,none,,,,,,,,,,,,,19.033
3544694,K03629.01,,FALSE POSITIVE,0,0,1,0,0,1.922862476,132.735702,0,,1.001,3.4594,,101272,0.496555,0.59224,LS+MCMC,70.65,0.0312,78.15,1827,2631.95,4.874,6408,4.246,-0.22,1.303,1.087,,15.925
11442793,K00351.04,Kepler-90 e,CONFIRMED,0.971,0,0,0,0,91.9401253,134.3,0,,0.025,9.195,,482.9,0.020017,1.05759,LS+MCMC,2.62,0.4105,89.98,450,9.71,77.89,5970,4.317,0.1,1.2,1.089,,13.804
10259029,K03630.01,,FALSE POSITIVE,0,0,1,0,0,7.061149921,134.558528,0,,0.912,3.33515,,131257,0.501653,2.74167,LS+MCMC,43.71,0.0683,87.3,842,118.87,19.333,5585,4.564,-0.28,0.798,0.852,,17.115
10735331,K03720.01,,FALSE POSITIVE,0,0,1,0,0,213.3990406,274.209685,0,,0.981,6.5043,,13929.5,0.176124,1.79085,LS+MCMC,35.2,0.7882,89.65,468,11.32,162.75,6960,4.069,-0.16,1.83,1.435,,13.381
7763269,K03721.01,,FALSE POSITIVE,0,0,1,0,0,6.40802979,134.0732,0,,1.287,2.9288,,7784.1,0.394488,0.34444,LS+MCMC,51.44,0.068,81.85,1157,424.01,9.08,6261,4.293,-0.26,1.194,1.017,,14.078
8365739,K03722.01,,FALSE POSITIVE,0.207,0,1,0,0,2.38920105,132.05991,,,,3.15,,,,,none,,,,,,,,,,,,,15.366
5471606,K03723.01,,FALSE POSITIVE,0,1,0,0,1,0.962835804,132.198475,0,,0.836,4.9844,,14328.4,0.130081,0.06517,LS+MCMC,458.02,0.0197,55.39,7100,602806.92,1.4726,3982,1.464,0.07,32.244,1.104,,10.82
11200405,K03724.01,,FALSE POSITIVE,0.022,0,1,0,0,4.639602084,135.09909,0,,0.634,3.4636,,25079,0.153067,0.8502,LS+MCMC,19.96,0.052,86.32,1285,643.95,9.89,6078,4.223,-0.56,1.194,0.868,,16.803
11568987,K00354.02,Kepler-534 c,CONFIRMED,0.998,0,0,0,0,7.37867551,135.82271,0,,0.513,3.349,,125.1,0.010507,1.09657,LS+MCMC,1.11,0.0761,88,933,178.68,14.67,5936,4.501,0.07,0.965,1.075,,13.235
3459199,K03725.01,,FALSE POSITIVE,0,0,1,0,0,1.570518376,132.340523,0,,1.295,3.2035,,2213.2,0.349222,0.05564,LS+MCMC,450.76,0.0385,48.03,4106,67267.85,1.936,5314,2.782,0.07,11.82,3.083,,10.055
7877818,K03816.01,,FALSE POSITIVE,0,1,0,1,1,9.44942628,132.45174,0,,1.217,6.3064,,1211.9,0.258572,0.01218,LS+MCMC,75.22,0.0947,71.61,1192,476.13,3.86,5092,3.689,0.02,2.664,1.265,,13.819
5636642,K03817.01,,FALSE POSITIVE,0,0,1,0,0,0.933489066,132.101834,0,,1.243,1.41864,,14259,0.405613,0.97086,LS+MCMC,48.01,0.0178,69.51,1979,3648.49,3.55,5758,4.307,-0.24,1.084,0.869,,16.428
6515722,K03818.01,,FALSE POSITIVE,0,1,0,0,0,1.908525084,131.77571,0,,0.015,4.169,,218.9,0.013861,0.24116,LS+MCMC,3.74,0.0397,89.75,3191,24558.81,3.5943,9174,4.013,0.07,2.471,2.294,,11.721
5560831,K03819.01,,FALSE POSITIVE,0,1,0,0,0,0.867721348,132.161646,0,,0.987,4.8783,,97653,0.480869,0.17734,LS+MCMC,67,0.0173,59.04,2089,4487.7,1.9182,5510,4.186,0.08,1.276,0.911,,16.09
5305404,K03820.01,,FALSE POSITIVE,0,1,0,1,1,161.252567,189.10238,0,,0.869,23.626,,2911.5,0.056948,0.02249,LS+MCMC,5.04,0.56,88.41,318,2.41,31.38,5985,4.574,-0.5,0.811,0.91,,14.72
5956776,K03821.01,,FALSE POSITIVE,0,1,0,0,0,0.569115097,132.020841,0,,0.444,3.5028,,585597,0.838661,0.9271,LS+MCMC,156.15,0.0152,79.82,3357,29827.37,2.513,7174,4.13,-0.2,1.705,1.43,,16.747
8883727,K03822.01,,FALSE POSITIVE,0,0,1,1,0,2.529073751,133.390989,0,,1.263,1.8827,,1572.9,0.308466,0.15426,LS+MCMC,25.8,0.0344,70.24,1137,395.83,3.74,5465,4.598,-0.26,0.766,0.857,,15.573
3124420,K03918.01,,FALSE POSITIVE,0,0,1,0,0,0.948951607,132.468516,0,,0.959,4.3809,,458463,1.055912,0.78347,LS+MCMC,115.31,0.0189,73.32,1853,2796.38,3.341,5780,4.438,0,1,1,,18.241
4649440,K03919.01,,FALSE POSITIVE,0,0,1,0,0,19.37070781,147.66803,0,,1.2,2.2466,,653.2,0.229288,0.26989,LS+MCMC,108.54,0.1714,86.07,1180,458.92,17.49,5321,3.416,-0.1,4.335,1.783,,12.956
2437488,K03920.01,,FALSE POSITIVE,0,0,1,1,1,14.46993942,141.81105,0,,1.027,7.455,,1235.3,0.086932,0.01394,LS+MCMC,85.84,0.1345,78.96,1713,2033.61,5.36,4735,2.715,0,9.043,1.549,,14.962
10083623,K03921.01,,FALSE POSITIVE,0,0,1,0,0,1.278555003,131.529071,0,,0.979,1.4247,,1478,0.057422,0.28661,LS+MCMC,5.19,0.0223,70.37,1515,1241.92,2.91,5636,4.557,-0.18,0.827,0.899,,15.643
7024530,K03922.01,,FALSE POSITIVE,0,0,1,0,0,66.1539783,156.97153,0,,0.873,5.896,,6951,0.088866,0.74995,LS+MCMC,9.69,0.3283,89.1,468,11.3,55.8,6077,4.471,-0.04,0.999,1.077,,15.52
5015459,K03923.01,,FALSE POSITIVE,0,0,1,0,0,158.3226379,251.75032,0,,1.323,2.1881,,4863,0.406775,14.03496,LS+MCMC,25.41,0.4719,89.71,211,0.47,265,4340,4.67,-0.58,0.572,0.557,,15.557
8686097,K00374.01,Kepler-540 b,CONFIRMED,0.992,0,0,0,0,172.7046083,236.92574,0,,0.004,11.347,,659.1,0.023415,1.06872,LS+MCMC,2.85,0.5886,90,355,3.77,119,5851,4.302,-0.22,1.116,0.91,,12.209
11969988,K04011.01,,CANDIDATE,0.495,0,0,0,0,2.19068738,132.01727,0,,0.594,4.41,,66.3,0.00777,0.12725,LS+MCMC,1.68,0.0364,79.24,2017,3913.33,3.18,6208,3.973,-0.02,1.975,1.337,,12.521
4832225,K04013.01,,FALSE POSITIVE,0,1,0,0,1,0.947730124,132.39338,0,,0.473,1.1171,,152.5,0.011822,4.19282,LS+MCMC,2.82,0.0248,85.35,3914,55681.21,5.84,9464,4.116,0.07,2.184,2.272,,9.072
9009953,K04014.01,Kepler-1700 b,CONFIRMED,0.982,0,0,0,0,234.240739,210.8122,0,,0.944,12.925,,464.1,0.025002,0.05861,LS+MCMC,3.41,0.7576,89.02,329,2.77,55.4,5814,4.269,0.16,1.248,1.055,,13.685
8282846,K04015.01,Kepler-1539 b,CONFIRMED,1,0,0,0,0,133.303247,167.76042,0,,0.063,7.342,,1017.5,0.028288,3.07169,LS+MCMC,2.67,0.4765,89.97,301,1.94,142.4,5064,4.474,0.18,0.864,0.811,,15.307
5938970,K04016.01,Kepler-1540 b,CONFIRMED,1,0,0,0,0,125.4132302,195.62605,0,,0.822,2.3241,,1345,0.038446,21.59093,LS+MCMC,3.14,0.4426,89.82,266,1.18,262,4641,4.557,0.16,0.747,0.734,,14.073
8381693,K04017.01,,FALSE POSITIVE,0,1,0,0,0,21.5702917,137.2647,0,,1.155,40.4,,148.7,0.16612,0.0001,LS+MCMC,29.53,0.1481,31.18,888,146.81,1.35,6070,3.983,-0.6,1.628,0.93,,13.86
3353050,K00384.01,Kepler-541 b,CONFIRMED,1,0,0,0,0,5.0800579,174.42853,0,,0.636,5.207,,222.8,0.014349,0.15353,LS+MCMC,3.95,0.0641,83.85,1673,1851.94,5.94,6049,3.769,-0.04,2.52,1.359,,13.281
3348090,K04112.01,,FALSE POSITIVE,0,0,0,1,0,2.43585046,132.89661,0,,0.471,2.088,,60.5,0.007333,1.61063,LS+MCMC,2.6,0.0413,86.61,2544,9880.82,7.96,6501,3.613,-0.22,3.247,1.579,,13.464
9282762,K04113.01,,FALSE POSITIVE,0,0,0,0,1,1.33255441,132.05269,0,,0.649,3.828,,106.7,0.00996,0.11416,LS+MCMC,1.12,0.0245,72.87,1743,2180.2,2.205,6099,4.456,0.02,1.028,1.098,,15.708
3117046,K04114.01,,FALSE POSITIVE,0,1,0,0,1,359.1015,415.3142,0,,0.317,11.461,,496.5,0.020691,1.83744,LS+MCMC,2.37,1.0201,89.92,285,1.56,232.2,6373,4.438,-0.24,1.047,1.094,,14.821
