tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
349790953,632.01,TOI-632.01,632,349790953.01,1,FP,10.3357,0.006,-0.006,1,0,07h33m49.15s,113.454773,,,,-61d17m32.83s,-61.292453,,,,-2.417,0.085,-0.085,1.0,0.0,6.778,0.06,-0.06,1.0,0.0,2459387.579573,0.000249,-0.000249,1,0,1.5521101,7e-07,-7e-07,1,0,2.699,0.034,-0.034,1,0,5430.0,249.733,-249.733,1,0,208.489,,,1,0,5297.55,,,,,2376.0,,,,,1278.41,54.865,-54.865,1,0,4997.1,86.0,-86.0,1,0,2.36,0.17,-0.17,1,0,12.23,,,1,0,,2019-04-11 19:30:41,2021-10-29 12:59:15,2025-09-28 22:48:44
196474344,6320.01,TOI-6320.01,6320,196474344.01,1,PC,13.022,0.006,-0.006,1,0,01h02m06.64s,15.527657,,,,+46d23m14.02s,46.387227,,,,5.407,0.047,-0.047,1.0,0.0,0.58,0.044,-0.044,1.0,0.0,2459903.193487,0.000745,-0.000745,1,0,3.6360128,7.7e-06,-7.7e-06,1,0,4.088,0.121,-0.121,1,0,14704.0,377.38,-377.38,1,0,18.9197,,,1,0,1204.47,,,,,1641.0,,,,,911.335,37.0815,-37.0815,1,0,6358.0,122.0,-122.0,1,0,4.19,,,1,0,1.49,,,1,0,,2023-05-03 22:21:21,2024-10-16 12:02:49,2025-09-28 22:48:44
272251987,6575.01,TOI-6575.01,6575,272251987.01,1,PC,12.351,0.006,-0.006,1,0,12h30m19.97s,187.583215,,,,-59d24m47.31s,-59.413143,,,,-10.783,0.04,-0.04,1.0,0.0,-4.79,0.039,-0.039,1.0,0.0,2460062.603665,0.008069,-0.008069,1,0,3.3047459,2.99e-05,-2.99e-05,1,0,3.735,0.825,-0.825,1,0,1724.0,164.278,-164.278,1,0,4.70927,0.41593,-0.41593,1,0,1949.35,,,,,1851.0,,,,,578.91,10.7055,-10.7055,1,0,6636.0,127.1,-127.1,1,0,4.35,0.09,-0.09,1,0,1.3,0.06,-0.06,1,0,,2023-07-20 23:31:15,2024-08-22 10:08:01,2025-09-28 22:48:44
304363215,6576.01,TOI-6576.01,6576,304363215.01,1,PC,13.0093,0.006,-0.006,1,0,10h59m42.63s,164.927622,,,,-58d39m32.5s,-58.659028,,,,-13.43,0.031,-0.031,1.0,0.0,0.828,0.029,-0.029,1.0,0.0,2460045.171715,0.002665,-0.002665,1,0,19.3111424,0.0001107,-0.0001107,1,0,3.92,0.337,-0.337,1,0,18500.0,658.202,-658.202,1,0,9.91342,,,1,0,30.3232,,,,,653.0,,,,,466.577,4.594,-4.594,1,0,5850.0,125.0,-125.0,1,0,4.54,,,1,0,0.92,,,1,0,,2023-07-20 23:31:15,2024-08-22 10:08:01,2025-09-28 22:48:44
144321743,6577.01,TOI-6577.01,6577,144321743.01,1,PC,12.0263,0.006,-0.006,1,0,12h38m31.21s,189.630031,,,,-41d28m26s,-41.47389,,,,-51.348,0.076,-0.076,1.0,0.0,-60.418,0.115,-0.115,1.0,0.0,2460047.80824,1e-05,-1e-05,1,0,729.9391752,2.83e-05,-2.83e-05,1,0,1.515,0.526,-0.526,1,0,10806.0,24688.5,-24688.5,1,0,15.2287,5.88719,-5.88719,1,0,7.21802,,,,,456.0,,,,,214.986,2.66,-2.66,1,0,5136.9,124.5,-124.5,1,0,4.61,0.09,-0.09,1,0,0.77,0.05,-0.05,1,0,,2023-07-20 23:31:15,2025-05-20 12:03:11,2025-09-28 22:48:44
144077896,6578.01,TOI-6578.01,6578,144077896.01,1,PC,12.0438,0.007,-0.007,1,0,12h32m31.76s,188.132336,,,,-37d04m25.84s,-37.073844,,,,-57.678,0.073,-0.073,1.0,0.0,-13.15,0.086,-0.086,1.0,0.0,2460061.045162,0.002717,-0.002717,1,0,2.7543175,9.9e-06,-9.9e-06,1,0,1.471,0.36,-0.36,1,0,1368.0,175.862,-175.862,1,0,2.11364,0.160383,-0.160383,1,0,36.9545,,,,,686.0,,,,,75.4617,0.2801,-0.2801,1,0,3573.0,157.0,-157.0,1,0,4.7,0.01,-0.01,1,0,0.54,0.02,-0.02,1,0,,2023-07-20 23:31:16,2025-04-19 12:03:12,2025-09-28 22:48:44
308010949,6579.01,TOI-6579.01,6579,308010949.01,1,PC,13.3562,0.007,-0.007,1,0,11h08m50.93s,167.212209,,,,-54d18m54.44s,-54.315121,,,,-0.326,0.032,-0.032,1.0,0.0,0.938,0.031,-0.031,1.0,0.0,2460066.773925,0.002814,-0.002814,1,0,3.4732477,1.52e-05,-1.52e-05,1,0,2.541,0.389,-0.389,1,0,6428.0,462.2,-462.2,1,0,13.0505,,,1,0,935.315,,,,,1540.0,,,,,1207.19,29.605,-29.605,1,0,7081.0,122.0,-122.0,1,0,4.21,,,1,0,1.63,,,1,0,,2023-07-20 23:31:16,2024-08-22 10:08:01,2025-09-28 22:48:44
48476907,658.01,TOI-658.01,658,48476907.01,1,FP,9.5359,0.006,-0.006,1,0,10h00m36.64s,150.152654,,,,-34d40m54.71s,-34.681865,,,,-50.825,0.164,-0.164,1.0,0.0,19.857,0.224,-0.224,1.0,0.0,2460030.273032,0.000858,-0.000858,1,0,4.7192734,7.3e-06,-7.3e-06,1,0,1.301,0.37,-0.37,1,0,1557.0,158.44,-158.44,1,0,7.15211,0.49726,-0.49726,1,0,156.343,,,,,985.0,,,,,212.005,5.3535,-5.3535,1,0,6521.0,199.0,-199.0,1,0,4.22041,2.01084,-2.01084,1,0,1.6,0.08,-0.08,1,0,,2019-05-07 15:39:33,2025-07-22 12:04:25,2025-09-28 22:48:44
170627138,6580.01,TOI-6580.01,6580,170627138.01,1,PC,11.7921,0.006,-0.006,1,0,12h22m29.82s,185.624262,,,,-32d20m12.88s,-32.33691,,,,9.901,0.06,-0.06,1.0,0.0,-17.38,0.056,-0.056,1.0,0.0,2460061.735735,0.005132,-0.005132,1,0,10.9600975,9.33e-05,-9.33e-05,1,0,6.171,0.527,-0.527,1,0,4111.0,137.195,-137.195,1,0,9.91407,0.680447,-0.680447,1,0,215.895,,,,,1067.0,,,,,580.95,16.0175,-16.0175,1,0,5586.7,126.1,-126.1,1,0,3.82,0.09,-0.09,1,0,2.04,0.12,-0.12,1,0,,2023-07-20 23:31:16,2024-08-22 10:08:01,2025-09-28 22:48:44
94012094,6581.01,TOI-6581.01,6581,94012094.01,1,PC,11.4291,0.006,-0.006,1,0,11h45m35.29s,176.397049,,,,-50d33m59.51s,-50.56653,,,,-28.342,0.041,-0.041,1.0,0.0,10.365,0.035,-0.035,1.0,0.0,2460058.281391,0.003152,-0.003152,1,0,4.9156665,1.74e-05,-1.74e-05,1,0,2.561,0.328,-0.328,1,0,2218.0,153.596,-153.596,1,0,5.59825,0.368736,-0.368736,1,0,197.609,,,,,1044.0,,,,,303.927,2.839,-2.839,1,0,5656.0,131.5,-131.5,1,0,4.28,0.08,-0.08,1,0,1.2,0.06,-0.06,1,0,,2023-07-20 23:31:16,2024-08-22 10:08:01,2025-09-28 22:48:44
438629686,6582.01,TOI-6582.01,6582,438629686.01,1,PC,11.0608,0.006,-0.006,1,0,13h27m35.83s,201.899291,,,,-46d23m12.45s,-46.386792,,,,-3.815,0.094,-0.094,1.0,0.0,6.665,0.093,-0.093,1.0,0.0,2460030.55009,0.004108,-0.004108,1,0,19.6500878,9.26e-05,-9.26e-05,1,0,2.277,0.405,-0.405,1,0,2605.0,201.269,-201.269,1,0,14.4539,1.29539,-1.29539,1,0,64.2887,,,,,788.0,,,,,1116.12,80.215,-80.215,1,0,8968.0,166.7,-166.7,1,0,3.88,0.09,-0.09,1,0,2.85,0.22,-0.22,1,0,,2023-07-20 23:31:16,2024-08-22 10:08:01,2025-09-28 22:48:44
377771417,6583.01,TOI-6583.01,6583,377771417.01,1,PC,11.3329,0.006,-0.006,1,0,10h18m47.64s,154.698501,,,,-62d47m34.89s,-62.793024,,,,-12.165,0.043,-0.043,1.0,0.0,2.438,0.046,-0.046,1.0,0.0,2460066.40706,0.001258,-0.001258,1,0,7.447404,1.34e-05,-1.34e-05,1,0,1.479,0.184,-0.184,1,0,6142.0,369.246,-369.246,1,0,13.1669,0.647229,-0.647229,1,0,106.276,,,,,894.0,,,,,639.815,10.734,-10.734,1,0,7936.0,141.0,-141.0,1,0,4.26,0.07,-0.07,1,0,1.7,0.05,-0.05,1,0,,2023-07-20 23:31:17,2025-07-22 12:04:25,2025-09-28 22:48:44
374155286,6584.01,TOI-6584.01,6584,374155286.01,1,PC,12.3896,0.006,-0.006,1,0,09h59m38.73s,149.911356,,,,-62d58m31.79s,-62.975497,,,,0.749,0.036,-0.036,1.0,0.0,-0.796,0.042,-0.042,1.0,0.0,2460065.199093,0.002935,-0.002935,1,0,3.6850751,1.49e-05,-1.49e-05,1,0,1.859,0.326,-0.326,1,0,4456.0,401.943,-401.943,1,0,10.2036,0.75825,-0.75825,1,0,214.472,,,,,1066.0,,,,,612.225,6.921,-6.921,1,0,5860.0,126.4,-126.4,1,0,4.07,0.08,-0.08,1,0,1.57,0.07,-0.07,1,0,,2023-07-20 23:31:17,2024-08-22 10:08:01,2025-09-28 22:48:44
162729620,6585.01,TOI-6585.01,6585,162729620.01,1,FP,12.3613,0.006,-0.006,1,0,11h23m33.52s,170.889648,,,,-45d38m49.25s,-45.647015,,,,-38.33,0.039,-0.039,1.0,0.0,10.283,0.035,-0.035,1.0,0.0,2460051.304076,0.005757,-0.005757,1,0,13.4364908,9.87e-05,-9.87e-05,1,0,5.375,1.684,-1.684,1,0,4735.0,2061.81,-2061.81,1,0,9.8672,2.22858,-2.22858,1,0,690.534,,,,,1428.0,,,,,590.249,10.105,-10.105,1,0,6229.0,136.6,-136.6,1,0,4.28,0.08,-0.08,1,0,1.31,0.06,-0.06,1,0,,2023-07-20 23:31:17,2025-04-05 12:03:07,2025-09-28 22:48:44
363259409,6586.01,TOI-6586.01,6586,363259409.01,1,PC,12.1162,0.006,-0.006,1,0,09h49m35.19s,147.396642,,,,-63d29m38.5s,-63.494029,,,,-7.587,0.047,-0.047,1.0,0.0,5.722,0.046,-0.046,1.0,0.0,2460067.268245,0.0036,-0.0036,1,0,5.0953453,1.65e-05,-1.65e-05,1,0,5.025,0.29,-0.29,1,0,5956.0,101.729,-101.729,1,0,12.0431,0.640826,-0.640826,1,0,1011.51,,,,,1571.0,,,,,883.252,20.203,-20.203,1,0,6269.0,127.8,-127.8,1,0,3.79,0.09,-0.09,1,0,2.34,0.11,-0.11,1,0,,2023-07-20 23:31:17,2024-08-22 10:08:01,2025-09-28 22:48:44
